source_file,title,company,industry,clouds_implemented,description,outcomes,links
6540825.md,NLEDP ‚Äì Secure Data Platform for the Home Office,Home Office (UK Government),"Government, Public Sector, Law Enforcement",AWS,"The project, called NLEDP, delivered a replacement of the Police National Computer (PNC) and the Police National Database (PND). It was built as a cloud‚ native solution on AWS, designed with security by design principles. The architecture incorporated 80 security controls identified through a threat assessment, encryption at rest and in transit using Amazon Key Management Service, immutable image deployment via CI/CD pipelines, isolated air‚ gapped environments, privileged access and secrets management, RBAC, joiners/movers/leavers processes, vulnerability scanning (Tenable/Nessus) and protective monitoring with Splunk. The solution enabled secure handling of highly sensitive government data‚Äîincluding PII, firearm locations and criminal records‚Äîwhile automating workflows and maintaining strict access controls.

The implementation followed a DevSecOps methodology: design co‚ created with the client, automated testing, immutable images, and rigorous pre‚ production validation. Operations included continuous monitoring, vulnerability management, and compliance assessments.

This case demonstrates how IBM leveraged AWS to deliver a highly secure, compliant data platform for a critical government application within stringent security requirements.","[Secure deployment of highly sensitive data on AWS, Encryption at rest and in transit with regular key rotation, Immutable image pipeline ensuring identical production environments, Air‚ gapped isolated environment with controlled integrations, RBAC and least privilege access controls\n\nReduced risk of data loss or breach, compliance with government security standards, and automated delivery and operations for rapid, secure deployment]",[https://ibmgbs.loopio.com/library?entry=6540825]
6540831.md,NHS Test & Trace Real Time Test Service (RTTS),National Health Service (NHS) ‚Äì Test & Trace,"Healthcare, Public Health",,"The NHS built the Real Time Test Service (RTTS) from zero to a production service in eight weeks, managing 600,000 test results during its initial phase and now handling over two million. The project reduced the time required to process test results from hours to a much shorter duration, enabling faster response to COVID‚ 19 testing demands.","[Rapid deployment of a fully functional real‚ time testing platform within 8 weeks, Scalable handling of >2\u202fmillion test results, Significant reduction in test result processing time]",[]
6540850.md,Transformative Social Security Benefit Platform for the Scottish Government,Scottish Government,"Public Sector, Government Services",,"IBM partnered with the Scottish Government to deliver a transformative social security benefit platform using enterprise-scale and customer-led delivery methods. Six 15-person blended customer/supplier engineering squads were formed, covering the full delivery life-cycle from architecture and analysis through solution engineering and deployment. Agile processes, change and release management, and collaboration with ID management and security teams were employed.","[Launch of 11 new benefits, Payouts exceeding  £190 million to nearly 100,000 households, Recipient of the 2020 MCA Change and Transformation Project Award]",[https://ibmgbs.loopio.com/library?entry=6540850]
6540851.md,Digital Genomics Management Service Delivery at Manchester Centre for Genomic Medicine,Manchester Centre for Genomic Medicine (ManGen),"Healthcare, Genomics, Life Sciences",,"IBM worked with Manchester Centre for Genomic Medicine (ManGen) to deliver a new digital genomics management service using user‚ centered Agile methodologies. IBMs Garage agile methodology provided a best practice delivery framework for the blended team and users to jointly define, prioritize and deliver. IBM enforced best practice delivery and support by introducing agile techniques and ceremonies including backlog management (Kanban), product roadmap and sprint cadence (Scrum). We delivered to coding standards defined by NHSD Cybersecurity for handling patient data and the NHSX Digital Technology Assessment Criteria.","The service is now live and used by genetic counsellors, clinical scientists and clinicians.",[https://ibmgbs.loopio.com/library?entry=6540851]
6540852.md,IBMs solution for Kone,Kone,Elevator & Escalator Manufacturing,"AWS API Gateway, AWS Lambda, Amazon Aurora, Amazon ECS, Amazon S3, AWS CodePipeline, IaaS (AWS infrastructure), PaaS (managed services), SaaS","IBM implemented a comprehensive AWS cloud enablement and governance strategy for Kone, aligning with the Well‚ Architected Framework and an enterprise AWS Organisation structure. The solution included cloud native business processes and tools configuration, creation of cloud infrastructure (IaaS), legacy application modernisation, and operating cloud‚ native managed services (PaaS, SaaS). IBM embedded AWS architects into Kone‚  in‚ house team to jointly administer and operate the Cloud Center of Excellence, focusing on serverless design patterns such as API Gateway, Lambda, Aurora, ECS/S3, and CodePipeline.","[Increased development agility, Improved quality through testing automation, 50% cost savings in operations]",[https://ibmgbs.loopio.com/library?entry=6540852]
6540853.md,Scottish Government AWS Hosting Platform for Social Security Programme,Scottish Government,"Public Sector, Social Services","AWS (DynamoDB, RDS, Lambda, Elasticache, VPC, ECS, EC2, S3, CloudWatch), Terraform, Ansible, GitLab CI/CD, Jenkins","IBM was engaged by the Scottish Government to engineer and operate an AWS hosting platform for their flagship Social Security programme. The implementation used an extensible infrastructure‚ as‚ code approach with open‚ source DevOps tooling, creating an optimised CI/CD pipeline using GitLab and Jenkins. Pre‚ production and production environments were built on AWS services such as DynamoDB, RDS, Lambda, Elasticache, VPC, ECS, EC2, S3, and CloudWatch, orchestrated through Terraform, PowerShell, Ansible, Jenkins, SonarQube, and Artifactory.","[Implemented a scalable, secure cloud infrastructure for the Social Security programme, Established automated CI/CD pipelines improving deployment speed and reliability, Leveraged IaC to reduce manual configuration errors and enable rapid environment provisioning]",[https://ibmgbs.loopio.com/library?entry=6540853]
6540854.md,High‚ Performance Computing Implementation for SKF,SKF,"Manufacturing, Industrial Engineering","AWS ParallelCluster, EC2 On‚ Demand and Spot instances, FSx, AWS Batch","IBM conducted proof‚ of‚ concepts to evaluate the feasibility of SKF‚  applications on AWS, then built a high‚ performance computing environment using AWS ParallelCluster. The cluster leveraged On‚ Demand and Spot EC2 instances backed by FSx for storage, with Spot Fleet handling demand spikes and AWS Batch managing job scheduling and tuning.","[Demonstrated technical feasibility of running SKF workloads in the cloud, Enabled scalable HPC resources on-demand with cost optimization via Spot instances, Provided a flexible, high‚ performance environment for compute‚ intensive tasks]",[https://ibmgbs.loopio.com/library?entry=6540854]
6540855.md,"Secure, Compliant AWS Managed Service for a Global Communications Provider",Global Communications provider (unnamed),"Telecommunications, Communications","AWS IAM, AWS CloudTrail, AWS CloudWatch, AWS Security Groups, Amazon S3, Amazon EBS, AWS Key Management Service (KMS), AWS Lambda, AWS Config, Fortigate NGFW firewalls, QRadar SIEM","IBM designed and implemented a secure, compliant AWS managed service for a global communications provider. The architecture leveraged the AWS Cloud Adoption Framework and included IAM, CloudTrail, CloudWatch, Security Groups, S3, EBS, KMS, Lambda, and Config to enforce security controls. Fortigate NGFW firewalls were deployed and managed, while logs were analyzed using QRadar SIEM. Additionally, IBM developed a web front‚ end and Python backend that automate the creation of new AWS accounts under the correct Organization Unit for a government client managing 700+ child accounts, with AWS Config enabling trusted access to AWS Organizations via API.","[Secure and compliant AWS environment, Automated account provisioning across 700+ child accounts, Centralized logging and SIEM analysis, Improved governance and control over AWS resources]",[https://ibmgbs.loopio.com/library?entry=6540855]
6540856.md,Department for Work and Pensions (DWP) Hybrid AWS On‚ Premise Solution,Department for Work and Pensions (DWP),"Government, Public Sector","AWS, EC2, Office 365, ServiceNow","IBM deployed a hybrid AWS on‚ premises solution for DWP, establishing a direct link between the agency‚  datacenter and AWS to provide a secure dedicated network with minimal latency. The front‚ end application was re‚ architected to run natively on AWS using EC2 instances across two availability zones for load balancing and resilience. Additionally, DWP migrated Office 365, Eclipse, and ServiceNow workloads to AWS, upgraded to a Zero Trust Network model, achieved Wi‚ Fi and wired network convergence, reduced the wired LAN footprint, and simplified overall infrastructure.","[Improved online customer experience, Reduced operational costs, Enhanced load balancing and resilience via multi‚ AZ EC2 deployment, Simplified network architecture with Zero Trust and Wi‚ Fi/Wired convergence, Cost savings from consolidated cloud workloads]",[https://ibmgbs.loopio.com/library?entry=6540856]
6540858.md,IBM Supports Department for Work and Pensions to Deliver Automated Provisioning of Cloud Services,Department for Work and Pensions (DWP),"Government, Public Sector","AWS, Terraform, Docker, Puppet, GitHub, Bash, MongoDB","IBM‚  global team of Python developers worked with the UK Government client, Department for Work and Pensions (DWP), to automate cloud service provisioning using an infrastructure‚ as‚ code approach. The team leveraged Python along with tools such as Scrapy for data crawling on S3 and local servers, MatPlotLib for data visualization, TensorFlow for object identification and speech recognition, and integrated Terraform, Docker, Puppet, GitHub, Bash, and MongoDB to build a robust, containerized, serverless solution that runs on AWS.","[Automated provisioning of cloud services, Infrastructure-as-code implementation, Enhanced data processing and visualization capabilities, Improved scalability and reliability of DWP‚  cloud operations]",[https://ibmgbs.loopio.com/library?entry=6540858]
6540859.md,Innovation Gateway MVP,HDRUK (Health Data Research UK),"Healthcare, Research Data","Atlassian Jira, Confluence, Zephyr, GitHub","IBM partnered with HDRUK to design and build the Innovation Gateway Minimum Viable Product (MVP), a digital delivery platform aimed at accelerating research outcomes. IBM set up an Atlassian instance for HDRUK‚  first digital project, embedding structures to plan, manage, and track design, development, and testing tasks for scrum teams. Jira was used to manage agile delivery, Confluence for knowledge management, Zephyr for test management, and GitHub for codebase management and merges. Jira plugins provided clear audit trails within tickets, ensuring documentation availability for future phases.","Streamlined agile project planning and execution, improved traceability of development tasks, enhanced collaboration across design, development, and testing teams, and established a scalable framework that could be extended to future projects.",[https://ibmgbs.loopio.com/library?entry=6540859]
6540860.md,Large Healthcare Payer Implements OAuth2 with Okta,Unnamed Large Healthcare Payer,"Healthcare, Insurance","OAuth 2.0, Okta","IBM implemented an OAuth 2.0 framework and Okta identity management to provide a standard single sign‚ on (SSO) solution for the payer‚  client applications. The architecture enabled secure delegated access over HTTPS, allowing authorized devices, APIs, servers, and applications to obtain access tokens instead of credentials. IBM also built a platform for British Petroleum that uses OAuth2 authentication for all client‚ to‚ server requests and backend calls to third‚ party services.","[Implemented secure SSO across web and REST endpoints, Enabled token‚ based delegated access reducing credential exposure, Provided a unified authentication framework for multiple external integrations]",[https://ibmgbs.loopio.com/library?entry=6540860]
6540862.md,AWS Cost Optimization for Government Client,Unnamed Government Agency,"Government, Public Sector","AWS, Serverless Containers (e.g., AWS Fargate), Amazon QuickSight","IBM reviewed the client‚  existing AWS solution against the Well-Architected Framework Cost Optimization model, scoring 1/5 on all parameters. IBM implemented a FinOps framework to raise scores above 4/5, re‚ architected cost‚ intensive components (e.g., moving to serverless containers), and set up tools for developers to review Cost & Usage reports via QuickSight dashboards. Ongoing monitoring and right‚ sizing of virtual instances were also established before code was published to production.","[Improved Well-Architected Framework cost optimization scores from 1/5 to >4/5, Reduced cloud spend through serverless architecture and instance right‚ sizing, Enabled continuous cost visibility with QuickSight dashboards]",[https://ibmgbs.loopio.com/library?entry=6540862]
6540863.md,IBM delivered Gen-O,Manchester Centre for Genomic Medicine (ManGen),"Healthcare, Genomics","PostGres, Hasura, GraphQL, MongoDB","IBM partnered with ManGen to build Gen‚ O, a digital genomics management service that stores and manages 100,000 genomic patient records in PostGres. Hasura and GraphQL middleware were used to enable communication between the database and clinician-facing front‚ end applications. In addition, IBM developed an NLP solution for an oil & gas client that ingested unstructured broker messages, extracted JSON outputs from an IBM Watson model, normalised and loaded them into MongoDB, and produced CSV subsets for analytics teams.",The Gen‚ O platform enabled efficient storage and retrieval of large-scale genomic data. The NLP solution for the oil & gas company identified a potential  £28M in additional revenue.,[https://ibmgbs.loopio.com/library?entry=6540863]
6540929.md,UK Border Agency Data Governance Implementation,UK Border Agency,"Government, Aviation, Customs & Border Control",,"Implemented an integrated data governance process that checked details in real time during flights across multiple data sources including international flight and carrier reservation systems, border control, customs, supporting both AI and manual risk analysis. Data collection of API and PNR data was secured in compliance with international standards set out by the International Civil Aviation Organization (ICAO) and the European Union.","Benefits were tracked over three years and fed into information governance processes, advanced analytics, policy changes and continual agile improvements.",[https://ibmgbs.loopio.com/library?entry=6540929]
6540951.md,North American Automotive Insurer ‚Äì Delivery Velocity & Cost Reduction,North American Automotive Insurer,Automotive Insurance,,"Through IBM Decision-Making Framework for Innovation and IBM Garage Methodology, the team applied Cognitive Data Classification, tagging, and metadata generation to enhance DevOps processes. By integrating DevOps observability, AIOps, Site Reliability Engineering (SRE), and ChatOps, they achieved significant improvements in delivery speed and reliability.","[2X Delivery velocity, 99.99% availability, 20% cost reduction]",[https://ibmgbs.loopio.com/library?entry=6540951]
6541134.md,IBM delivers integrated products for NHS Test & Trace,NHS (Test & Trace programme),"Healthcare, Public Sector",Salesforce API/CRM platform,"In 2020 IBM secured a contract to provide an integrated set of products supporting the UK National Health Service‚  Test and Trace initiative. The project required rapid delivery of a highly configurable, robust solution that could integrate with a complex web of existing systems while maintaining service levels during transition from an incumbent supplier. IBM leveraged its experience in large‚ scale public sector deployments to assemble multidisciplinary teams, manage roadmaps, and collaborate closely with NHS bodies and third‚ party suppliers.","[Delivered at scale within weeks, Rapid API/CRM platform implementation on Salesforce, Maintained service continuity during transition, Demonstrated ability to meet rapidly changing policy objectives]",[https://ibmgbs.loopio.com/library?entry=6541134]
6541143.md,NHS Test and Trace Implementation,National Health Service (NHS) ‚Äì Test and Trace Program,"Healthcare, Public Health",,"The project describes the transition of NHS Test and Trace from beta to live production, managing a continuous feedback loop between deployment and operations. The team implemented automated delivery pipelines, strict quality gates, shift‚ left operations with embedded Site Reliability Engineers (SREs), and comprehensive runbooks and SOPs. Over 100 releases were delivered in nine months across multiple partners and up to seven different systems, ensuring smooth service transition without compromising safety.","[Delivered over 100 releases within 9 months, Enabled a continuous feedback loop improving release quality, Increased capacity to support more releases over time, Maintained operational stability through SRE integration and runbooks]",[https://ibmgbs.loopio.com/library?entry=6541143]
6541168.md,"Scotland Government and IBM co‚ created a scalable, integrated, cloud‚ based benefits solution",Scottish Government,"Public Sector, Social Services",Cloud-based portal (generic),"IBM partnered with the Scottish Government to design, develop and launch an integrated, cloud‚ based benefits application that allows citizens to apply for low‚ income benefits through a single portal. The project required rapid scaling of resources; IBM mobilised seven agile development teams within six weeks to cover the full delivery life cycle‚Äîfrom service design and analysis to architecture and solution development‚Äîensuring a seamless end‚ to‚ end experience for users.","Rapid deployment of a scalable, integrated benefits platform; ability to support high user volumes during peak application periods; streamlined citizen access to low‚ income benefits through a unified portal; demonstration of IBM‚  Factory Services model and AI‚ enabled resource matching.
",[https://ibmgbs.loopio.com/library?entry=6541168]
6541169.md,IBM supports NHS Digital‚  Data Security Centre,NHS Digital,"Healthcare, Health IT",,"IBM partnered with NHS Digital to enhance the Data Security Centre‚  operations against known and emerging security risks. By leveraging its ecosystem of niche suppliers and subject matter experts, IBM introduced innovative solutions such as a joint NHS/IBM Innovation factory and gamified training through Immersive Labs to upskill technical teams that had previously been unresponsive to traditional training methods.","[Improved resilience and response capabilities for NHS Digital‚  security operations, Successful delivery of high‚ standard training via gamification, increasing team engagement and competency, Strengthened partnership between IBM and NHS Digital as a strategic security partner]",[https://ibmgbs.loopio.com/library?entry=6541169]
6541184.md,NHS Test and Trace Programme,National Health Service (NHS),Healthcare,,"IBM has chosen its work with the NHS Test and Trace programme as a case study, leveraging experiences and learnings from that project (and other healthcare clients such as NHS Digital and Genomics England). The team will collaborate with NHS Digital colleagues as part of a Rainbow team to deliver end‚ to‚ end services for the Vaccination Programme. Following the model used on NHS Test and Trace, IBM‚  team is supported by an executive team providing input and guidance, enabling NHS Digital to benefit from IBM‚  expertise in product management, complex programme delivery, architecture, thought leadership, clinical safety, and other healthcare subject matter areas.",[],[https://ibmgbs.loopio.com/library?entry=6541184]
6541186.md,NHS Test and Trace Programme,National Health Service (NHS),Healthcare,,"We have chosen our work with the NHS Test and Trace programme as our case study. Our team bring the experiences and learnings gained on NHS Test and Trace (as well as other Healthcare clients such as NHS D and Genomics England), to work with NHS D colleagues as part of a Rainbow team to deliver end to end services for the Vaccination Programme. As per the model we used on NHS Test and Trace, our team will be supported by an Executive team who will provide input and guidance. This partnership approach allows NHS D to leverage the diversity of experience and expertise that IBM has in product management, complex programme delivery, architecture, thought leadership, clinical safety, and other healthcare subject matter expertise.",[],[https://ibmgbs.loopio.com/library?entry=6541186]
6541231.md,,Global Airline,Airline & Travel,,"The document describes the use of ChatOps in a new merchandising platform for a Global Airline client. Implementing ChatOps improved operational reliability to 99.8% availability and enabled cognitive analytics that helped Site Reliability Engineering (SRE) engineers identify trends, reduce test cycle times, and achieve significant savings through test automation.","[Achieved 99.8% availability, Reduced test cycle times leading to 30-50% effort savings]",[https://ibmgbs.loopio.com/library?entry=6541231]
6541273.md,Social Security Scotland Benefit Launch,Social Security Scotland,"Public Sector, Social Services",,"Using a product‚ centric approach, Social Security Scotland was able to deliver its first benefit application 6 months earlier than planned. The digital solution achieved a 90% uptake rate, with average application completion times of less than five minutes and a 97% positive user satisfaction score.","[Benefit launched 6 months early, Digital uptake of 90%, Average completion time <5 minutes, 97% user satisfaction]",[https://ibmgbs.loopio.com/library?entry=6541273]
6541288.md,Raiffeisen Bank International CCOE Implementation,Raiffeisen Bank International (RBI),"Banking, Finance","CCOE services, Data Lakes, Compute Environments","The project involved establishing a Cloud Center of Excellence (CCOE) for RBI, laying the foundational building blocks, relationships, and engagement needed to shape the CCOE to meet the needs of NHS teams. The early phase focused on adoption, setting baseline metrics and KPIs tied to business outcomes, embedding effective ways of working, and refining an agile delivery approach. This groundwork enabled RBI to later build a suite of business enablers such as data lakes and compute environments on top of the CCOE services.","[Successful establishment of a scalable CCOE, Enabling long‚ term value through data lakes and compute environments, Improved adoption and clear vision for NHS cloud platform usage]",[]
6541307.md,Basic Check Digital Solution ‚Äì Online Criminal Record Check Service,Disclosure and Barring Service (UK),"Public Sector, Government Services","GOV.UK Notify, GOV.UK Verify, GOV.UK Pay","IBM designed and implemented an award‚ winning online criminal record check service for the Disclosure and Barring Service. The project involved building a digital solution that met the 18 Digital Service Standard criteria, integrating GOV.UK Notify, Verify and Pay services, and embedding shadow GDS assessments into sprint cycles to ensure continuous alignment with user needs.","[Achieved an ‚Äòexemplar‚Äô Government Digital Service (GDS) assessment rating, Launched in 2018 and serves over 1,000 daily customers, First digital service to combine Notify, Verify and Pay GOV.UK services]",[]
6818227.md,IBM brings proven experience migrating multi-component on-premise environments to AWS,Department for Work and Pensions (DWP),"Public Sector, Government Services","AWS Cloud, Private Cloud","IBM migrated an estate of approximately 100 on‚ premise hosted applications, including mission critical systems supporting Universal Credit, to a hybrid environment consisting of private cloud and AWS. The project involved running dual environments during the transition, decommissioning legacy hardware, and developing migration patterns for critical national infrastructure that ensured no loss or corruption of data in line with the AWS Well‚ Architected Framework.","[Successful dual operation of on‚ premise and cloud environments, Decommissioning of legacy hardware, Established migration patterns for future physical-to-cloud moves without service disruption]",[https://ibmgbs.loopio.com/library?entry=6818227]
6818230.md,Stop-the-Traffik Charity Data Visualization PoC,Stop-the-Traffik,"Human Trafficking, NGO/Charity","AWS, Elastic-Logstash-Kibana (ELK)","Built a proof‚ of‚ concept using complex data sets stored in multiple sources and visualised them to help fight human trafficking. The solution processed large volumes of data, enabling the creation of dashboards that highlighted patterns and anomalies relevant to law enforcement.","[One report led to law‚ enforcement investigations across 16 countries, Significantly disrupted trafficking operations for months]",[https://ibmgbs.loopio.com/library?entry=6818230]
6818231.md,Global Airline Data Product Strategy,Global Airline (unnamed),"Aviation, Airlines",,"A global airline required their data product strategy to be defined. A combined task force of diverse technical stakeholders with competing priorities was led by a central governance board. Our team used data reference architectures and data governance models to conduct a comprehensive capability assessment. Through interviews and design‚ thinking workshops, we engaged stakeholders to gain consensus on data use cases. Strong C‚ suite buy-in to the future data strategy was achieved through biweekly playbacks and governance sessions, ensuring business influence across priorities with decisions captured via regular, provocative discussion.","[Consensus on data use cases, Strong C‚ suite buy‚ in to the data strategy, Effective governance structure capturing decisions]",[https://ibmgbs.loopio.com/library?entry=6818231]
6818232.md,DWP Digital Service: Apply for NINO,Department for Work and Pensions (DWP),"Government, Public Sector",,"For DWP, we created a new digital-service for citizens to apply for National Insurance Number (NINO) by developing a product vision and steering the product direction from early alpha prototyping into public beta. The IBM Product Owner worked closely with stakeholders from a range of interdependent products to understand priorities, using a Feasibility/Value matrix to define and deliver the product roadmap and backlog, delivering value incrementally. Through iterative user research/testing, Google Analytics data trends, and user needs affinity mapping, the product backlog was actively prioritised and refreshed.","[Service launched in 8 weeks, 57% increase in efficiency]",[https://ibmgbs.loopio.com/library?entry=6818232]
6818256.md,Scottish Government New Social Security Department,Scottish Government,"Public Sector, Government Services",Cloud Platform (generic),"We used Agile to help the Scottish Government establish a new social security department and launch 10 benefits. We helped design, build and deliver the complex services and cloud platform hosting them, using an agile delivery method, using GDS from discovery through to live, and re-using patterns and existing assets to accelerate delivery. The strength of agile experience enabled practical challenges to be overcome; adopting highly collaborative ways of working, decisions were made quickly and requirements prioritised to deliver an enterprise quality, secure, complex, highly performant service at pace, changing the lives for 100,000+ citizens averaging over 97% customer satisfaction.","[Served 100,000+ citizens, Achieved over 97% customer satisfaction]",[https://ibmgbs.loopio.com/library?entry=6818256]
6818258.md,With DWP we transitioned Searchlight,Department for Work & Pensions (DWP),"Government, Public Sector, Social Services",,"The project involved transitioning Searchlight, a service used by 90,000 DWP users to manage over 65 million National Insurance records, into the support/sustainment arm of the business. The team employed ticket information metrics and recorded the skills required to support each application, assessing existing team capabilities to provide a holistic view of upcoming support workload and how it would be fulfilled within a service design framework. Through joint working and a team mentoring model, an environment for effective iterative knowledge transfer was created, enabling less-experienced support staff to develop necessary competencies. This collaborative upskilling approach successfully transitioned responsibilities and met all service acceptance criteria.","[Successful transition of Searchlight into support, Meeting all service acceptance criteria, Effective knowledge transfer and upskilling of support staff]",[https://ibmgbs.loopio.com/library?entry=6818258]
6818270.md,Scottish Government DevOps Platform,Scottish Government,"Public Sector, Government","AWS S3, AWS RDS Aurora, AWS Lambda, Amazon EC2, AWS API Gateway, VPC, Route 53, Amazon Directory Service, CloudWatch, CloudTrail, DynamoDB, ECS, SNS, SQS, Kafka","The project involved designing and delivering a highly automated, secure, resilient, and high‚ performance DevOps platform for the Scottish Government. Using repeatable deployment scripts, the team provisioned VPCs, Route53, Directory Services, and ECS as the core platform foundation. DynamoDB was deployed to provide a NoSQL service that actively controls state locking for Terraform. Microservices leveraged an RDS Aurora database and API Gateway. Operational tooling included S3, ELK stack, CloudWatch, CloudTrail, SNS, SQS, and Kafka to queue, parse, and process over 80 billion events in the first five months of operation.","[Automated deployment and provisioning of infrastructure, Secure and resilient platform architecture, High‚ performance event processing handling 80+\u202fbillion events within five months, Improved operational visibility via CloudWatch, CloudTrail, ELK]",[https://ibmgbs.loopio.com/library?entry=6818270]
6818276.md,Telef√≥nica Cloud Garden Platform,Telef√≥nica,"Telecommunications, Communications Data","Multi‚ cloud platform (open source Kubernetes management), Blockchain data network","IBM partnered with Telef√≥nica to develop and enable the delivery of Telef√≥nica‚  ‚ÄòCloud Garden‚Äô platform, which allows customers to deploy integrated telecommunication solutions on a multi‚ cloud environment powered by an open‚ source Kubernetes management stack. The solution includes a blockchain data network that enables 8,000 businesses to collaborate and share relevant information securely.","[Enabled 8,000 businesses to access a shared blockchain data network, Provided a secure communications data solution for the Home Office with Auckland]",[https://ibmgbs.loopio.com/library?entry=6818276]
6932507.md,Social Security Scotland ‚Äì Digital Transformation of Scottish Government Benefits,Scottish Government,"Public Sector, Social Welfare","AWS public cloud, DevOps, Cloud‚ first","IBM partnered with the Scottish Government to design, develop and launch a new agency ‚Äì Social Security Scotland ‚Äì that delivers devolved welfare benefits. The project involved creating an end‚ to‚ end benefits platform built on AWS, using agile delivery methods, enterprise user‚ centred design, and a cloud‚ first DevOps approach. It included extensive user research (over 1,350 participants), iterative sprint cycles, secure‚ by‚ design principles, and continuous improvement practices to ensure the service met high standards of accessibility, performance and security.","[Launched first wave of benefits for low‚ income families between late 2018 and early 2020, Paid out over  £190 million to nearly 100,000 households, Established a modern, secure, flexible and scalable platform for future benefits, Achieved an average customer satisfaction score of >97%, Won the Change and Transformation award at the MCA Awards 2020]",[https://www.ibm.com/case-studies/dbs-cloud-application-innovation-services]
6932510.md,Basic Digital Service ‚Äì A GDS‚ compliant digital service,Disclosure and Barring Service (DBS),"Public sector, Government digital services","AWS, GOV.UK Pay, GOV.UK Verify, GOV.UK Notify, Node.js, JavaScript","IBM partnered with DBS to develop the Basic Digital Service, a fully GDS‚ compliant online service that allows users to obtain a DBS check. The project leveraged AWS for hosting, integrated government services such as GOV.UK Pay, Verify and Notify, and was built using open‚ source front‚ end components (JavaScript/Node.js). Agile Scrum and Enterprise Design Thinking were applied throughout discovery, rapid prototyping, user testing and iterative delivery. The service was designed with accessibility (WCAG 2.1 AA), data analytics, and continuous improvement in mind.","[Customer satisfaction rose from 68% to 93%, 40% reduction in operational and hosting costs, 3√ó increase in online applications due to improved usability, Received the ‚ÄòBest Use of Customer Insight‚Äô award at the 2020 UK Customer Satisfaction Awards, Achieved an exemplar GDS rating]",[https://ibmgbs.loopio.com/library?entry=6932510]
6964135.md,NHS DigiTrials and the RECOVERY Trial,"NHS Digital (in partnership with IBM, Microsoft and University of Oxford‚  Big Data Institute)","Healthcare, Clinical Trials","IBM Cloud, FHIR, HL7","The NHS DigiTrials consortium was established in late 2019 to provide data services for clinical trials using routinely collected NHS data. During the COVID‚ 19 pandemic, the RECOVERY Trial leveraged this infrastructure‚Äîintegrating data from NHS DigiTrials, SAIL (Wales) and NHS Scotland‚Äîto accelerate trial results. IBM worked with NHS Digital specialists to define required extracts, link source data, and transmit it to the trial team, enabling rapid analysis of treatment efficacy.",The integrated data platform facilitated the discovery that low‚ cost dexamethasone reduced death by up to one third in hospitalised patients with severe respiratory complications of COVID‚ 19. The collaboration also demonstrated a scalable model for real‚ time clinical trial data integration and reporting.,[https://www.recoverytrial.net/files/recovery_dexamethasone_statement_160620_v2final.pdf]
7120164.md,Schengen Area Border Control Regulations for the EU,European Union (Schengen Area),"Government, Immigration & Border Control","Kafka (IBM Event Streams), Kubernetes, AWS","The project delivered a cloud‚ based event streaming solution to electronically register entry and exit of third‚ country nationals, calculate authorised stay duration, and replace passport stamping. The architecture centers on Kafka running on Kubernetes with 65 edge implementations feeding three central clusters, achieving zero‚ loss RPO and 99.999% availability. Design focused on data consistency, failure recovery, performance, observability, and security for PII/biometric data.","[Zero‚ loss Recovery Point Objective (RPO), 99.999% availability target met, Active‚ active‚ active architecture with no single points of failure, Parallel combined writes via Apache Flink Transaction Manager ensuring atomicity across three master Kafka topics, Scalable throughput supporting an average of 4\u202fmillion daily passenger movements, Compliance with Home Office security standards and GDS digital service standards]",[https://ibmgbs.loopio.com/library?entry=7120164]
7120166.md,Digital Service Transformation for the Disclosure and Barring Service,Disclosure and Barring Service (DBS),"Public Sector, Government Services",,"The project involved building an in‚ house agile capability within DBS to deliver a new public‚ facing digital service for criminal record and background checks. The team worked across multidisciplinary groups, integrating with existing systems and focusing on user experience through iterative research, design and delivery cycles. Agile practices such as Scrum, continuous integration/deployment pipelines, automated testing, and site reliability engineering were employed to ensure high quality and rapid iteration.","[3‚ fold increase in online customers, 93% customer satisfaction, 40% reduction in operational costs]",[]
7120167.md,Scottish Government ‚Äì AWS Benefit Processing Platform for Scotland,Scottish Government,"Public Sector, Government","AWS, Kafka, Lambda, S3, Kubernetes, Docker","IBM partnered with the Scottish Government to build and support an automated, resilient benefit processing platform based on EBSA. The solution leveraged AWS services such as Kafka for messaging, Lambda for compute, S3 for storage, Kubernetes and Docker for container orchestration, along with DevOps and Infrastructure‚ as‚ Code practices. It processed over 80‚ÄØbillion events in the first five months of operation, enabling rapid service restoration and supporting multiple benefit‚ focused digital services.","[Processed >80\u202fbillion events within 5 months, Achieved high scalability and resilience for public sector benefits processing, Won MCA Award 2020 for ‚ÄòBest Public Sector Change and Transformation Project‚Äô]",[]
